Name,Moelcular Formula,Dipole,Ref
Ethyl acrylate,C5H8O2,[1.96],7
Ethylamine (gauche),C2H7N,1.210 ± 0.015,5
Ethylamine (trans),C2H7N,1.304 ± 0.011,5
Ethylamine (average),C2H7N,1.22 ± 0.10,1
Ethylbenzene,C8H10,0.59 ± 0.05,1
Ethyl benzoate,C9H10O2,2.00 ± 0.10,1
Ethyl butanoate,C6H12O2,[1.74],7
Ethyl trans-cinnamate,C11H12O2,[1.84],7
Ethyl cyanate,C3H5NO,4.72 ± 0.09,5
Ethyl cyanoacetate,C5H7NO2,[2.17],7
Ethylene carbonate,C3H4O3,[4.9],7
Ethylene glycol (average),C2H6O2,2.36 ± 0.10,5
Ethyleneimine,C2H5N,1.90 ± 0.01,1
Ethylene–sulfur dioxide,C2H4•O2S,1.650 ± 0.003,27
complex,,,
Ethylene–water complex,C2H4•H2O,1.10 ± 0.01,56
Ethyl formate (gauche),C3H6O2,1.81 ± 0.02,2
Ethyl formate (trans),C3H6O2,1.98 ± 0.02,2
Ethyl formate (average),C3H6O2,1.93,1
2-Ethyl-1-hexanol,C8H18O,[1.74],7
2-Ethylhexyl acetate,C10H20O2,[1.8],7
Ethyl lactate,C5H10O3,[2.4],7
Ethyl methyl ether (trans),C3H8O,1.17 ± 0.02,3
Ethyl methyl sulfide (gauche),C3H8S,1.593 ± 0.004,5
Ethyl methyl sulfide (trans),C3H8S,1.56 ± 0.03,3
Ethyl propanoate,C5H10O2,[1.74],7
Ethyl vinyl ether,C4H8O,[1.26],7
Fluoroacetylene,C2HF,0.7207 ± 0.0003,3
Fluorobenzene,C6H5F,1.60 ± 0.08,1
Fluorocyclohexane,C6H11F,2.11 ± 0.04,2
(equitorial),,,
Fluorocyclohexane (axial),C6H11F,1.81 ± 0.04,2
1-Fluorocyclohexene,C6H9F,1.942 ± 0.010,5
Fluoroethane,C2H5F,1.937 ± 0.007,5
Fluoroethene,C2H3F,1.468 ± 0.003,5
Fluoromethane,CH3F,1.858 ± 0.002,3
Fluoromethylidyne,CF,0.645 ± 0.005,3
(Fluoromethylidyne),CFP,0.279 ± 0.001,62
phosphine (FCP),,,
Fluoromethylsilane,CH5FSi,1.700 ± 0.008,5
1-Fluoro-4-nitrobenzene,C6H4FNO2,2.87 ± 0.06,1
1-Fluoropropane (gauche),C3H7F,1.90 ± 0.10,1
1-Fluoropropane (trans),C3H7F,2.05 ± 0.04,1
2-Fluoropropane,C3H7F,1.958 ± 0.001,5
cis-1-Fluoropropene,C3H5F,1.46 ± 0.03,1
trans-1-Fluoropropene,C3H5F,≈1.9,1
2-Fluoropropene,C3H5F,1.61 ± 0.03,1
3-Fluoropropene (gauche),C3H5F,1.939 ± 0.015,1
3-Fluoropropene (cis),C3H5F,1.765 ± 0.014,1
3-Fluoropropyne,C3H3F,1.73 ± 0.02,5
3-Fluoropyridine,C5H4FN,2.09 ± 0.26,3
2-Fluorotoluene,C7H7F,1.37 ± 0.07,1
3-Fluorotoluene,C7H7F,1.82 ± 0.04,2
4-Fluorotoluene,C7H7F,2.00 ± 0.10,1
Formaldehyde,CH2O,2.332 ± 0.002,3
Formaldehyde dimer,C2H4O2,0.858 ± 0.005,57
Formamide,CH3NO,3.73 ± 0.07,1
Formic acid,CH2O2,1.425 ± 0.002,5
Formyl fluoride,CHFO,2.081 ± 0.001,5
Fulminic acid,CHNO,3.09934,5
Fulvene,C6H6,0.4236 ± 0.013,2
Furan,C4H4O,0.66 ± 0.01,1
Furfural,C5H4O2,[3.54],7
Furfuryl alcohol,C5H6O2,[1.92],7
Glycerol,C3H8O3,[2.56],7
Glycine (Conformer I),C2H5NO2,1.147 ± 0.005,49
Glycine (Conformer II),C2H5NO2,5.45 ± 0.05,49
Glycolaldehyde,C2H4O2,2.73 ± 0.05,2
Glyoxal (cis),C2H2O2,4.8 ± 0.2,2
2-Heptanol,C7H16O,[1.71],7
3-Heptanol,C7H16O,[1.71],7
2-Heptanone,C7H14O,[2.59],7
3-Heptanone,C7H14O,[2.78],7
Hexamethylphosphoric,C6H18N3OP,[5.5],7
triamide,,,
Hexanoic acid,C6H12O2,[1.13],7
2-Hexanone,C6H12O,[2.66],7
sec-Hexyl acetate,C8H16O2,[1.9],7
1-Hexyne,C6H10,0.83 ± 0.05,1
Hydrogen cyanide,CHN,2.985188,5
Hydrogen cyanide trimer,C3H3N3,10.6,21
Hydrogen isocyanide,CHN,3.05 ± 0.15,3
p-Hydroquinone,C6H6O2,2.38 ± 0.05,15
3-Hydroxypropanenitrile,C3H5NO,3.17 ± 0.02,5
(gauche),,,
Imidazole,C3H4N2,3.8 ± 0.4,2
Iodoacetylene,C2HI,0.02525,5
Iodobenzene,C6H5I,1.70 ± 0.09,1
1-Iodobutane,C4H9I,[1.93],7
2-Iodobutane,C4H9I,2.12 ± 0.11,1
Iodoethane,C2H5I,1.976 ± 0.002,5
Iodoethene,C2H3I,1.311 ± 0.005,5
Iodomethane,CH3I,1.6406 ± 0.0004,5
1-Iodo-2-methylpropane,C4H9I,[1.87],7
Iodomethylsilane,CH5ISi,1.862 ± 0.005,5
1-IoMdoolpercouplaarne,C3H7I,2.04 ± 0.10,1
2-Iodopropane,C3H7I,[1.95],7
Isobutanal (gauche),C4H8O,2.69 ± 0.01,5
Isobutanal (trans),C4H8O,2.86 ± 0.01,5
Isobutane,C4H10,0.132 ± 0.002,1
Isobutene,C4H8,0.503 ± 0.010,1
Isobutyl acetate,C6H12O2,[1.86],7
Isobutylamine,C4H11N,[1.27],7
Isobutyl formate,C5H10O2,[1.88],7
Isobutyl isobutanoate,C8H16O2,[1.9],7
Isocyanic acid (HNCO),CHNO,≈1.6,2
Isocyanobenzene,C7H5N,4.018 ± 0.003,5
Isocyanocyclopropane,C H N,4.03 ± 0.10,3
2-Isocyanopropane,C4H7N,4.055 ± 0.001,5
Isopentane,C5H12,0.13 ± 0.05,1
Isopentyl acetate,C7H14O2,[1.86],7
Isopropylamine,C3H9N,1.19 ± 0.06,3
Isopropylbenzene,C9H12,≈0.79,1
Isopropyl methyl ether,C4H10O,1.247 ± 0.003,5
Isoquinoline,C9H7N,2.73 ± 0.14,1
Isoxazole,C3H3NO,2.95 ± 0.04,3
Isoxazole–carbon monoxide,C3H3NO•CO,2.873 ± 0.004,52
complex,,,
Ketene,C2H2O,1.42215,3
Mesityl oxide,C6H10O,[2.79],7
Methacrylic acid,C4H6O2,[1.65],7
Methanethiol,CH4S,1.52 ± 0.08,1
Methanol,CH4O,1.70 ± 0.02,1
2-Methoxyethanol (gauche),C3H8O2,2.36 ± 0.05,2
2-Methoxyethyl acetate,C5H10O3,[2.13],7
"1-Methoxy-1,2-propadiene",C4H6O,0.963 ± 0.020,5
N-Methylacetamide,C3H7NO,[4.3],7
Methyl acetate,C3H6O2,1.72 ± 0.09,1
Methyl acrylate,C4H6O2,[1.77],7
2-Methylacrylonitrile,C4H5N,3.69 ± 0.18,1
Methylamine,CH5N,1.31 ± 0.03,1
2-Methylaniline,C7H9N,[1.60],7
3-Methylaniline,C7H9N,[1.45],7
4-Methylaniline,C7H9N,[1.52],7
Methyl azide,CH3N3,2.17 ± 0.04,2
Methyl benzoate,C8H8O2,[1.94],7
"2-Methyl-1,3-butadiene",C5H8,0.25 ± 0.01,1
3-Methylbutanoic acid,C5H10O2,[0.63],7
2-Methyl-1-butanol,C5H12O,[1.88],7
2-Methyl-2-butanol,C5H12O,[1.82],7
3-Methyl-1-butene (gauche),C5H10,0.398 ± 0.004,3
3-Methyl-1-butene (trans),C5H10,0.320 ± 0.010,3
3-Methyl-2-butenenitrile,C5H7N,4.61 ± 0.13,10
2-Methyl-1-buten-3-yne,C5H6,0.513 ± 0.02,2
Methyl cyanate,C2H3NO,4.26 ± 0.18,5
cis-3-Methylcyclohexanol,C7H14O,[1.91],7
trans-3-Methylcyclohexanol,C7H14O,[1.75],7
3-Methylcyclopentanone,C6H10O,3.14 ± 0.03,5
3-Methyl-2-cyclopenten-1-,C6H8O,4.33 ± 0.002,5
one,,,
Methylcyclopropane,C4H8,0.139 ± 0.004,2
Methyldiborane(6),CH8B2,0.566 ± 0.006,3
Methyldifluorophosphine,CH3F2P,2.056 ± 0.006,3
Methylenecyclohexane,C7H12,0.62 ± 0.01,5
Methylenecyclopropene,C4H4,1.90 ± 0.01,5
Methylenephosphine (CH2 =,CH3P,0.869 ± 0.003,61
PH),,,
N-Methylformamide,C2H5NO,3.83 ± 0.08,1
Methyl formate,C2H4O2,1.77 ± 0.04,1
2-Methylfuran,C5H6O,0.65 ± 0.05,2
3-Methylfuran,C5H6O,1.03 ± 0.02,2
5-Methyl-2(3H)-furanone,C5H6O2,4.08 ± 0.02,5
Methyl hydroperoxide,CH4O2,≈0.65,13
Methylidyne,CH,≈1.46,2
Methyl isocyanate,C2H3NO,≈2.8,1
Methyl isothiocyanate,C2H3NS,3.453 ± 0.003,5
4-Methylisoxazole,C4H5NO,3.583 ± 0.005,5
Methyl methacrylate,C5H8O2,[1.67],7
2-Methyloxazole,C4H5NO,1.37 ± 0.07,5
4-Methyloxazole,C4H5NO,1.08 ± 0.05,5
5-Methyloxazole,C4H5NO,2.16 ± 0.04,5
Methyloxirane,C3H6O,2.01 ± 0.02,1
"2-Methyl-2,4-pentanediol",C6H14O2,[2.9],7
4-Methylpentanenitrile,C6H11N,[3.5],7
Methylphosphonic difluoride,CH3F2OP,3.69 ± 0.26,3
N-Methylpropanamide,C4H9NO,3.61,7
2-Methylpropanenitrile,C4H7N,4.29 ± 0.09,3
2-Methyl-2-propanethiol,C4H10S,1.66 ± 0.03,3
2-Methylpropanoic acid,C4H8O2,[1.08],7
2-Methyl-1-propanol,C4H10O,1.64 ± 0.08,1
2-Methyl-2-propanol,C4H10O,[1.66],7
2-Methylpropenal,C4H6O,2.68 ± 0.13,1
2-Methyl-2-propenol (skew),C4H8O,1.295 ± 0.022,5
Methyl propyl ether (trans-,C4H10O,1.107 ± 0.013,3
trans),,,
2-Methylpyridine,C6H7N,1.85 ± 0.04,2
3-Methylpyridine,C6H7N,[2.40],7
4-Methylpyridine,C6H7N,2.70 ± 0.02,2
2-Methylpyrimidine,C5H6N2,1.676 ± 0.010,3
5-Methylpyrimidine,C5H6N2,2.881 ± 0.006,3
N-Methylpyrrolidine,C5H11N,0.572 ± 0.003,5
N-Methyl-2-pyrrolidinone,C5H9NO,[4.1],7
Methyl salicylate,C8H8O3,[2.47],7
Methylsilane,CH6Si,0.73456,5
Methyl silyl ether,CH6OSi,1.15 ± 0.02,2
3-Methylthietane,C4H8S,2.046 ± 0.009,5
2-Methylthiophene,C5H6S,0.674 ± 0.005,2
3-Methylthiophene,C5H6S,0.914 ± 0.015,3
Methyl vinyl ether,C3H6O,0.965 ± 0.002,5
Morpholine,C4H9NO,1.55 ± 0.03,3
2-Nitroanisole,C7H7NO3,[5.0],7
Nitrobenzene,C6H5NO2,4.22 ± 0.08,1
Nitroethane,C2H5NO2,3.23 ± 0.03,2
Nitromethane,CH3NO2,3.46 ± 0.02,1
1-Nitropropane,C3H7NO2,3.66 ± 0.07,1
2-Nitropropane,C3H7NO2,3.73 ± 0.07,1
Nonanoic acid,C9H18O2,[0.79],7
"2,5-Norbornadiene",C7H8,0.0587 ± 0.0001,5
cis-9-Octadecenoic acid,C18H34O2,[1.18],7
Octanoic acid,C8H16O2,[1.15],7
1-Octanol,C8H18O,[1.76],7
2-Octanol,C8H18O,[1.71],7
2-Octanone,C8H16O,[2.70],7
"1,4-Oxathiane",C4H8OS,0.295 ± 0.003,3
Oxazole,C3H3NO,1.503 ± 0.030,3
Oxetane,C3H6O,1.94 ± 0.01,1
2-Oxetanone,C3H4O2,4.18 ± 0.03,1
3-Oxetanone,C3H4O2,0.887 ± 0.005,2
Oxirane,C2H4O,1.89 ± 0.01,1
Pentachloroethane,C2HCl5,0.92 ± 0.05,1
"cis-1,3-Pentadiene",C5H8,0.500 ± 0.015,2
"trans-1,3-Pentadiene",C5H8,0.585 ± 0.010,2
"1,3-Pentadiyne",C5H4,1.207 ± 0.001,5
"1,5-Pentanediol",C5H12O2,[2.5],7
"2,4-Pentanedione",C5H8O2,[2.78],7
Pentanenitrile,C5H9N,4.12 ± 0.08,1
Pentanoic acid,C5H10O2,[1.61],7
1-Pentanol,C5H12O,[1.7],7
2-Pentanol,C5H12O,[1.66],7
3-Pentanol,C5H12O,[1.64],7
2-Pentanone,C5H10O,[2.70],7
3-Pentanone,C5H10O,[2.82],7
"1,2,3-Pentatriene",C5H6,0.51 ± 0.05,11
1-Pentene,C5H10,≈0.5,1
1-Penten-3-yne,C5H6,0.66 ± 0.02,2
cis-3-Penten-1-yne,C5H6,0.78 ± 0.02,2
trans-3-Penten-1-yne,C5H6,1.06 ± 0.05,2
Pentyl acetate,C7H14O2,1.75 ± 0.10,1
Pentyl formate,C6H12O2,1.90 ± 0.10,1
1-Pentyne (gauche),C5H8,0.769 ± 0.028,2
1-Pentyne (trans),C5H8,0.842 ± 0.010,2
Perfluoropyridine,C5F5N,0.98 ± 0.08,3
Phenol,C6H6O,1.224 ± 0.008,3
Phenylacetylene,C8H6,0.656 ± 0.005,3
Phenylsilane,C6H8Si,0.845 ± 0.012,3
1-Phosphapropyne (CH3CP),C2H3P,1.499 ± 0.001,63
Piperidine (equitorial),C5H11N,0.82 ± 0.02,3
Piperidine (axial),C5H11N,1.19 ± 0.02,3
Piperidine (average),C5H11N,[1.19],3
Propanal (gauche),C3H6O,2.86 ± 0.01,5
Propanal (cis),C3H6O,2.52 ± 0.05,1
Propanal (average),C3H6O,2.72,1
Propane,C3H8,0.084 ± 0.001,1
"1,2-Propanediol",C3H8O2,[2.25],7
"1,3-Propanediol",C3H8O2,[2.55],7
Propanenitrile,C3H5N,4.05 ± 0.03,3
1-Propanethiol (gauche),C3H8S,1.683 ± 0.010,3
1-Propanethiol (trans),C3H8S,1.60 ± 0.08,3
2-Propanethiol (gauche),C3H8S,1.53 ± 0.03,3
2-Propanethiol (trans),C3H8S,1.61 ± 0.03,3
Propanoic acid (cis),C3H6O2,1.46 ± 0.07,2
Propanoic acid (average),C3H6O2,1.75 ± 0.09,1
1-Propanol (gauche),C3H8O,1.58 ± 0.03,2
1-Propanol (trans),C3H8O,1.55 ± 0.03,2
2-Propanol (trans),C3H8O,1.58 ± 0.03,2
Propargyl alcohol,C3H4O,1.13 ± 0.06,2
Propene,C3H6,0.366 ± 0.001,1
Propene–sulfur dioxide,C3H6•O2S,1.34 ± 0.003,35
complex,,,
Propyl acetate,C5H10O2,[1.78],7
Propylamine,C3H9N,1.17 ± 0.06,1
Propylene carbonate,C4H6O3,[4.9],7
Propyleneimine (cis),C3H7N,1.77 ± 0.09,2
Propyleneimine (trans),C3H7N,1.57 ± 0.03,2
Propyl formate,C4H8O2,[1.89],7
2-Propynal,C3H2O,2.78 ± 0.02,5
Propyne,C3H4,0.784 ± 0.001,3
Propyne-argon complex,C3H4•Ar,0.730 ± 0.005,20
4H-Pyran-4-one,C5H4O2,3.79 ± 0.02,5
4H-Pyran-4-thione,C5H4OS,3.95 ± 0.05,5
1H-Pyrazole,C3H4N2,2.20 ± 0.01,3
Pyridazine,C4H4N2,4.22 ± 0.02,2
Pyridine,C5H5N,2.215 ± 0.010,3
2-Pyridinecarbonitrile,C6H4N2,5.78 ± 0.11,3
3-Pyridinecarbonitrile,C6H4N2,3.66 ± 0.11,3
4-Pyridinecarbonitrile,C6H4N2,1.96 ± 0.03,3
3-Pyridinecarboxaldehyde,C6H5NO,1.44,3
4-Pyridinecarboxaldehyde,C6H5NO,1.66,3
2-Pyridinecarboxaldehyde,C6H5NO,3.56 ± 0.07,3
Pyrimidine,C4H4N2,2.334 ± 0.010,2
Pyrrole,C4H5N,1.767 ± 0.001,5
Pyrrolidine,C4H9N,[1.57],7
2-Pyrrolidone,C4H7NO,[3.5],7
Quinoline,C9H7N,2.29 ± 0.11,1
Salicylaldehyde,C7H6O2,[2.86],7
Selenoformaldehyde,CH2Se,1.41 ± 0.01,5
Silicon dicarbide,C2Si,2.393 ± 0.006,24
Silicon methylidyne,CHSi,0.066 ± 0.002,41
Styrene,C8H8,0.123 ± 0.003,5
Succinonitrile,C4H4N2,[3.7],7
Sulfolane,C4H8O2S,[4.8],7
"1,1,2,2-Tetrabromoethane",C2H2Br4,[1.38],7
"1,1,2,2-Tetrachloroethane",C2H2Cl4,1.32 ± 0.07,1
"1,2,3,4-Tetrafluorobenzene",C6H2F4,2.42 ± 0.05,3
"1,2,3,5-Tetrafluorobenzene",C6H2F4,1.46 ± 0.06,3
"1,1,1,2-Tetrafluoroethane",C2H2F4,1.80 ± 0.22,5
Tetrahydrofuran,C4H8O,1.75 ± 0.04,2
Tetrahydrofurfuryl alcohol,C5H10O2,[2.1],7
Tetrahydropyran (chair),C5H10O,1.58 ± 0.03,3
Tetrahydro-4H-pyran-4-one,C5H8O2,1.720 ± 0.003,3
"1,2,5,6-Tetrahydropyridine",C5H9N,1.007 ± 0.003,3
Tetrahydrothiophene,C4H8S,[1.90],7
Tetramethylurea,C5H12N2O,[3.5],7
1H-Tetrazole,CH2N4,2.19 ± 0.05,3
Thiacyclohexane,C5H10S,1.781 ± 0.010,3
"1,2,5-Thiadiazole",C2H2N2S,1.579 ± 0.007,3
Thietane,C3H6S,1.85 ± 0.09,1
"Thietane 1,1-dioxide",C3H6O2S,4.8 ± 0.1,5
ThiMoaocleetcauldlaerhyde,C2H4S,2.33 ± 0.02,68
Thiocarbonyl fluoride,CF2S,0.08,59
Thioformaldehyde,CH2S,1.6491 ± 0.0004,3
Thiophene,C4H4S,0.55 ± 0.01,2
2-Thiophenecarbonitrile,C5H3NS,4.59 ± 0.02,3
3-Thiophenecarbonitrile,C5H3NS,4.13 ± 0.02,3
4H-Thiopyran-4-thione,C5H4S2,3.9 ± 0.2,5
Toluene,C7H8,0.375 ± 0.010,3
Toluene-sulfur dioxide,C7H8•O2S,1.87 ± 0.03,34
complex,,,
"1H-1,2,4-Triazole",C2H3N3,2.7 ± 0.1,3
Tribromomethane,CHBr3,0.99 ± 0.02,1
Tributylamine,C12H27N,[0.78],7
Tributyl borate,C12H27BO3,[0.77],7
Tributyl phosphate,C12H27O4P,[3.07],7
Tricarbon monosulfide,C3S,3.704 ± 0.009,50
"1,1,1-Trichloroethane",C2H3Cl3,1.755 ± 0.015,2
"1,1,2-Trichloroethane",C2H3Cl3,[1.4],7
Trichloroethene,C2HCl3,[0.8],7
Trichloroethylsilane,C2H5Cl3Si,[2.04],7
Trichlorofluoromethane,CCl3F,0.46 ± 0.02,2
Trichloromethane,CHCl3,1.04 ± 0.02,2
(Trichloromethyl)benzene,C7H5Cl3,[2.03],7
Trichloromethylsilane,CH3Cl3Si,1.91 ± 0.01,2
Tri-o-cresyl phosphate,C21H21O4P,[2.87],7
Tri-m-cresyl phosphate,C21H21O4P,[3.05],7
Tri-p-cresyl phosphate,C21H21O4P,[3.18],7
Triethanolamine,C6H15NO3,[3.57],7
Triethylamine,C6H15N,0.66 ± 0.05,1
Triethyl phosphate,C6H15O4P,[3.12],7
Trifluoroacetic acid,C2HF3O2,2.28 ± 0.25,1
Trifluoroacetonitrile,C2F3N,1.262 ± 0.010,3
"1,2,4-Trifluorobenzene",C6H3F3,1.402 ± 0.009,5
"1,1,1-Trifluoroethane",C2H3F3,2.347 ± 0.005,3
Trifluoroethene,C2HF3,1.32 ± 0.03,2
Trifluoroiodomethane,CF3I,1.048 ± 0.003,3
Trifluoroisocyanomethane,C2F3N,1.153 ± 0.010,5
Trifluoromethane,CHF3,1.6515,3
(Trifluoromethyl)benzene,C7H5F3,2.86 ± 0.06,1
Trifluoromethylsilane,CH3F3Si,2.3394 ± 0.0002,5
(Trifluoromethyl)silane,CH3F3Si,2.32 ± 0.02,5
"3,3,3-Trifluoropropene",C3H3F3,2.45 ± 0.05,1
"3,3,3-Trifluoro-1-propyne",C3HF3,2.317 ± 0.013,5
Trimethylamine,C3H9N,0.612 ± 0.003,1
Trimethyl phosphate,C3H9O4P,[3.18],7
"2,4,6-Trimethylpyridine",C8H11N,[2.05],7
"1,3,5-Trioxane",C3H6O3,2.08 ± 0.02,1
Vinyl acetate,C4H6O2,[1.79],7
Vinyl formate,C3H4O2,1.49 ± 0.01,1
2-Vinylfuran,C6H6O,0.69 ± 0.07,5
Vinylsilane,C2H6Si,0.657 ± 0.002,5
o-Xylene,C8H10,0.640 ± 0.005,2
"2,4-Xylenol",C8H10O,[1.4],7
"2,5-Xylenol",C8H10O,[1.45],7
"2,6-Xylenol",C8H10O,[1.40],7
"3,4-Xylenol",C8H10O,[1.56],7
"3,5-Xylenol",C8H10O,[1.55],7
