Name,Moelcular Formula,Dipole,Ref
Acetylene–carbon dioxide,C2H2•CO2,0.161 ± 0.001,22
complex,,,
Acetylene–carbon monoxide,C2H2•CO,0.311 ± 0.001,32
complex,,,
Acetylene–carbon oxysulfide,C2H2•C3O3S3,1.23 ± 0.02,53
trimer complex,,,
Acetylene–hydrogen cyanide,C2H2•CHN,3.29 ± 0.03,32
complex,,,
Acetyl fluoride,C2H3FO,2.96 ± 0.03,1
Acrolein (cis),C3H4O,2.552 ± 0.003,5
Acrolein (trans),C3H4O,3.117 ± 0.004,5
Acrylonitrile,C3H3N,3.92 ± 0.07,5
Allyl alcohol (gauche),C3H6O,1.55 ± 0.08,3
Allyl alcohol (average),C3H6O,1.60 ± 0.08,1
Allylamine,C3H7N,≈1.2,1
Aniline,C6H7N,1.13 ± 0.02,3
Anisole,C7H8O,1.38 ± 0.07,1
Azulene,C10H8,0.80 ± 0.02,1
Benzaldehyde,C7H6O,[3.0],7
Benzeneacetonitrile,C8H7N,[3.5],7
Benzene–hydrogen sulfide,C6H6•H2S,1.14 ± 0.02,40
complex,,,
Benzene–krypton complex,C6H6•Kr,0.136 ± 0.002,58
Benzene–sulfur dioxide,C6H6•O2S,2.061 ± 0.002,33
complex,,,
Benzenethiol,C6H6S,[1.23],7
Benzonitrile,C7H5N,4.18 ± 0.08,1
Benzyl acetate,C9H10O2,[1.22],7
Benzyl alcohol,C7H8O,1.71 ± 0.09,1
Benzyl benzoate,C14H12O2,[2.06],7
Bis(2-aminoethyl)amine,C4H13N3,[1.89],7
Bis(2-chloroethyl) ether,C4H8Cl2O,[2.58],7
Bis(2-ethylhexyl) phthalate,C24H38O4,[2.84],7
Borane carbonyl,CH3BO,1.698 ± 0.020,3
Bromoacetylene,C2HBr,0.22962,5
Bromobenzene,C6H5Br,1.70 ± 0.03,1
1-Bromobutane,C4H9Br,2.08 ± 0.10,1
2-Bromobutane,C4H9Br,2.23 ± 0.11,1
1-Bromo-2-chloroethane,C2H4BrCl,[1.2],7
Bromochlorofluoromethane,CHBrClF,1.5 ± 0.3,17
Bromochloromethane,CH2BrCl,[1.66],7
1-Bromodecane,C10H21Br,[1.93],7
Bromoethane,C2H5Br,2.04 ± 0.02,5
Bromoethene,C2H3Br,1.42 ± 0.03,1
Bromofluoroacetylene,C2BrF,0.448 ± 0.002,5
1-Bromoheptane,C7H15Br,2.16 ± 0.11,1
Bromomethane,CH3Br,1.8203 ± 0.0004,5
2-Bromo-2-methylpropane,C4H9Br,[2.17],7
1-Bromonaphthalene,C10H7Br,[1.55],7
1-Bromopentane,C5H11Br,2.20 ± 0.11,1
1-Bromopropane,C3H7Br,2.18 ± 0.11,1
2-Bromopropane,C3H7Br,2.21 ± 0.11,1
2-Bromopropene,C3H5Br,[1.51],7
3-Bromopropene,C3H5Br,≈1.9,1
Bromotrifluoromethane,CBrF3,0.65 ± 0.05,1
"1,2-Butadiene",C4H6,0.403 ± 0.002,1
Butanal,C4H8O,2.72 ± 0.05,1
"1,4-Butanediol",C4H10O2,[2.58],7
Butanenitrile (gauche),C4H7N,3.91 ± 0.04,5
Butanenitrile (anti),C4H7N,3.73 ± 0.06,5
1-Butanethiol,C4H10S,[1.53],7
Butanoic acid,C4H8O2,[1.65],7
1-Butanol,C4H10O,1.66 ± 0.03,1
2-Butanone,C4H8O,2.779 ± 0.015,2
trans-2-Butenal,C4H6O,3.67 ± 0.07,1
1-Butene (cis),C4H8,0.438 ± 0.007,2
1-Butene (skew),C4H8,0.359 ± 0.011,2
cis-2-Butene,C4H8,0.253 ± 0.005,2
"cis-2-Butene-1,4-diol",C4H8O2,[2.48],7
"trans-2-Butene-1,4-diol",C4H8O2,[2.45],7
trans-2-Butenoic acid,C4H6O2,[2.13],7
cis-2-Buten-1-ol,C4H8O,1.96 ± 0.03,5
trans-2-Buten-1-ol,C4H8O,1.90 ± 0.02,5
1-Buten-3-yne,C4H4,0.22 ± 0.02,3
2-Butoxyethanol,C6H14O2,[2.08],7
Butyl acetate,C6H12O2,[1.87],7
sec-Butyl acetate,C6H12O2,[1.87],7
Butylamine,C4H11N,≈1.0,1
sec-Butylamine,C4H11N,[1.28],7
tert-Butylamine,C4H11N,[1.29],7
tert-Butylbenzene,C10H14,≈0.83,1
Butyl ethyl ether,C6H14O,[1.24],7
Butyl formate,C5H10O2,[2.03],7
Butyl stearate,C22H44O2,[1.88],7
Butyl vinyl ether,C6H12O,[1.25],7
1-Butyne,C4H6,0.782 ± 0.004,5
γ-Butyrolactone,C4H6O2,4.27 ± 0.03,3
Calcium methoxide,CH3CaO,1.58 ± 0.08,43
"Camphor, (+)",C10H16O,[3.1],7
Caprolactam,C6H11NO,[3.9],7
Carboimidic difluoride,CHF2N,1.393 ± 0.001,5
Carbon dioxide dimer–water,C2O4•H2O,1.989 ± 0.002,23
complex,,,
Carbon dioxide–mercury,CO2•Hg,0.107 ± 0.003,29
complex,,,
Carbon dioxide–water dimer,CO2•H4O2,1.746 ± 0.010,28
complex,,,
Carbon disulfide–sulfur,CO2•O2S,1.096 ± 0.001,42
dioxide complex,,,
Carbon monoselenide,CSe,1.99 ± 0.04,3
Carbon monosulfide,CS,1.958 ± 0.005,2
Carbon monoxide,CO,0.1098,3
Carbon monoxide dimer–,C2O2•H2O,1.57 ± 0.05,36
water complex,,,
Carbon oxyselenide,COSe,0.73 ± 0.02,1
Carbon oxysulfide,COS,0.715189,5
Carbon oxysulfide–carbon,COS•C2O4,0.69 ± 0.05,44
