smiles_1,associating,m,sigma,epsilon_k,mu,epsilonAB,KAB,total_residual,mean_residual,max_residual,m_error,sigma_error,epsilon_k_error,mu_error,epsilonAB_error,KAB_error,#DDB
CCCCCOCOCCCCC,False,2.5643563068373547,4.999999989374398,363.3250029301952,1.7021197080612183,0.0,0.0,0.4514159311032355,0.030094395406882368,0.5,3.219833691039193,2.348328915162904,255.16605973605883,0,0.0,0,2857
CCC(CC)=NO,True,2.738837957544457,3.8802180662017385,314.0948961834663,1.8464199304580688,1963.3279927250173,0.01,0.022825946876617077,0.0017558420674320828,0.5,0.9715198846900109,0.49007014806302474,71.84908523026337,0,663.006865140886,0,554
O=C(O)C1CCC1,True,3.4184579932146257,3.424534670858308,302.35319134978056,1.6885566711425781,2278.9251202556075,0.01,0.32395265921905536,0.01619763296095277,0.5,2.924177161256623,1.0478474923314856,102.85983790526942,0,872.0239762966655,0,8061
C=C1CCCCC1,False,1.3398267622717737,4.999999999971358,429.24830611682546,0.3650515377521515,0.0,0.0,0.6666916958692404,0.030304167994056382,0.5,2.112920444791275,0.14938902696819784,398.15909151046,0,0.0,0,4628
CC1CCC(O)CC1,True,1.4553840460507506,4.9999999990263815,486.19403372623907,1.1725624799728394,0.011835706828389192,0.01,0.4101067304769922,0.024123925322176012,0.5,3.4398967902400472,9.431555173745233,434.7295934662134,0,103530.68725801338,0,2568
CCOC(=O)C(Cl)Cl,False,1.414103870661874,4.999999999960815,477.0293985570806,1.0241161584854126,0.0,0.0,0.30898948859070985,0.01626260466266894,0.5,1.39364813381591,0.129777990099933,279.124576723176,0,0.0,0,1371
CCOC(=O)C(Cl)(Cl)Cl,False,1.7048065867925848,4.8777267361871735,431.72382368574284,1.1767568588256836,0.0,0.0,0.30353068856524557,0.013196986459358503,0.5,1.3402296977766404,1.3549107421674131,202.19795527408778,0,0.0,0,204
CC(O)COC(C)CO,True,4.93086604646977,3.3652802329116476,270.2007031660538,0.8154598474502563,2476.494354965713,0.01,1.7190665605876343,0.029136721365892106,0.5,0.4217404991730108,0.1032703668833757,7.713946657073355,0,169.55036761973216,0,414
COC(=O)CCCCC(=O)OC,False,7.332068832048674,3.115942222515584,227.93951717993346,0.8158603310585022,0.0,0.0,0.8119516281283842,0.010972319299032219,0.5,0.1577235358539277,0.0242344632049531,2.158128879219137,0,0.0,0,1249
O=[N+]([O-])c1ccc(F)c(Cl)c1,False,3.8520367551391823,3.5202901161487175,318.35362482413507,1.9412672519683838,0.0,0.0,0.06603406828390887,0.003475477278100467,0.5,0.041935260477479995,0.013639718371271758,1.8729951589556613,0,0.0,0,22479
COS(=O)OC,False,2.7630434506568045,3.5597466695491153,306.1824395910671,0.31065094470977783,0.0,0.0,0.06837902260462367,0.004884215900330262,0.5,1.0097285082758518,0.4649051957728574,63.45347134114515,0,0.0,0,4604
CCCOS(=O)OCCC,False,2.198535291931633,4.7270084499865765,385.8477172044213,2.2248785495758057,0.0,0.0,0.07566834669258347,0.00630569555771529,0.5,1.0585808109826573,0.8043810721272681,106.89997249136803,0,0.0,0,6542
CCOS(=O)OCC,False,3.6773501020431714,3.6164438948217557,275.0876429260136,0.7482833862304688,0.0,0.0,0.11242196136291231,0.006245664520161795,0.5,0.7555083243653051,0.2659007246772023,29.801943888825377,0,0.0,0,6541
CCCCCCCF,False,2.274735368515095,4.446165893793053,319.6807770863178,1.1245944499969482,0.0,0.0,0.1630021922278319,0.014818381111621082,0.5,5.927577293151579,4.115427281130472,479.845770682382,0,0.0,0,4257
CCCCCCCCF,False,2.745899791368637,4.330483845200609,302.92387161059514,0.9980853796005249,0.0,0.0,0.0418187538694949,0.0027879169246329935,0.5,0.49799384749850567,0.27941770992936926,30.5852430412399,0,0.0,0,6213
CCOC(=O)C(F)F,False,3.365098874213988,3.4619752570155002,249.15321294013827,1.9487926959991455,0.0,0.0,0.051755813671976555,0.004705073970179687,0.5,0.7682738162392466,0.2862957830239299,30.260162196632493,0,0.0,0,4244
Cc1ccc(C)o1,False,3.3790362682340165,3.4549973347620244,246.48911237920908,0.02991481125354767,0.0,0.0,0.5838429438572422,0.0030094997106043415,0.5,0.011400158172920968,0.004192737341038855,0.45817564091643675,0,0.0,0,8198
COCCC#N,False,3.450261756842437,3.3197615473260376,297.1217566075083,1.9994105100631714,0.0,0.0,0.21536586032754912,0.0048946786438079344,0.5,0.020530261323655718,0.0069643011965471666,0.9760068018045087,0,0.0,0,895
CC(=O)CCc1ccccc1,False,1.7761840021087938,4.999999999966148,487.382682255847,0.7045590877532959,0.0,0.0,0.10063677197507999,0.006289798248442499,0.5,0.8182203537370581,0.06271915673927939,133.95299519953858,0,0.0,0,1038
CC1CCC(C(C)C)C(O)C1,True,4.004313926626574,3.9574729081130657,269.882425458352,0.7689303159713745,2780.308804538538,0.01,1.3590359847501292,0.039971646610297916,0.5,5.300414398027242,1.8394421336549482,107.12216255380508,0,1611.6469464175948,0,19097
COC(=O)CCCC(=O)OC,False,1.7303821297073516,4.999999999992237,471.6924572976865,0.2911607325077057,0.0,0.0,0.8680257015827906,0.036167737565949605,0.5,0.19368986731021082,0.15910494813395842,32.19910349857832,0,0.0,0,1186
CCOC(=O)C(F)(F)F,False,4.35930683867057,3.229619291476018,192.2230271941479,2.330481767654419,0.0,0.0,0.7770412927025915,0.014128023503683482,0.5,0.11306131625597854,0.030818109652212315,2.4968832429671717,0,0.0,0,10106
CCNC(C)=O,True,3.6878362132832536,3.325802769078349,308.4597366633267,0.6325060129165649,1929.8379256389915,0.01,0.3721656842442049,0.019587667591800258,0.5,3.4426151662018807,1.1262231109435574,127.40633999278961,0,1239.8195919506604,0,1141
CO[PH](=O)OC,False,3.5866849486770787,3.3022970127561444,296.1987493715452,0.489597350358963,0.0,0.0,1.1369107644817147,0.017490934838180226,0.5,0.0834661222128378,0.026995028147282867,3.883685127970311,0,0.0,0,2031
Oc1cccc(Cl)c1,True,3.7395571992952377,3.3678706841866397,318.54707863259546,0.5029309988021851,571.1493485049897,0.01,0.04254856988379608,0.0019340259038089127,0.5,0.22682034463012501,0.08890850452296331,7.37413726296879,0,2157.766819878438,0,811
CCSC#N,False,2.6295720548263417,3.579631618355732,324.79692414967747,2.4491257667541504,0.0,0.0,0.1664366842078817,0.010402292762992607,0.5,1.932877586560972,0.9367659564438586,132.8856135538691,0,0.0,0,9006
OCCOc1ccccc1,True,7.46423587696194,2.84716684003044,238.10478457813187,0.6272271871566772,1.838047491986572e-07,0.01,0.2169559157935227,0.018079659649460223,0.5,0.5175464626598781,0.06595959294410902,15.379020693642582,0,61669.32246594326,0,2891
COC(=O)C(Cl)Cl,False,2.905531204975964,3.6591792866886155,307.6078323005785,0.2961459755897522,0.0,0.0,0.08415659592984415,0.005610439728656277,0.5,0.7363820184628905,0.3303659729996629,43.67561367822004,0,0.0,0,3318
CC(O)CN,True,3.173739245654261,3.2799351368231777,295.1934140494653,0.9153528809547424,2108.9589110998277,0.01,0.17153292175588214,0.005717764058529405,0.5,1.0621067358883396,0.3927622031404401,39.889652595869755,0,326.93487135768254,0,3091
CNC1CCCCC1,True,3.964946236976925,3.534030418062308,257.2345398086687,0.9336399435997009,202.5200188063967,0.01,0.33412533289181096,0.017585543836411102,0.5,2.7992417625011474,1.0972911502927443,48.5687091002363,0,80344.03153924565,0,967
Cc1ccc(C(C)(C)C)cc1,False,3.725797371023274,4.002739452340984,288.48919632677325,1.2868541479110718,0.0,0.0,0.8818334565487022,0.015470762395591265,0.5,0.0860547770629622,0.03209219971915256,3.640975173578179,0,0.0,0,8237
