smiles,compoundName,sigma_moment_1,sigma_moment_2,sigma_moment_3,sigma_moment_4,sigma_moment_5
c1cnc2ncncc2n1,pteridine,0.0,86.8,52.3,127.0,146.0
c1ccc2nccnc2c1,quinoxaline,0.0,55.5,30.5,76.5,96.0
c1ccc2ccccc2c1,naphthalene,0.0,31.3,-3.98478,9.495692,-2.644418
c1ccc2ncccc2c1,chinoline,0.0,47.9,23.2,66.0,92.0
COc1ccccc1[N+](=O)[O-],1-methoxy-2-nitrobenzene,0.0,64.7,18.0,52.5,32.9
Cc1[nH]c2ccccc2c1C,"2,3-dimethyl-1h-indole",0.0,51.4,-14.8,46.2,-44.8
O=C1Nc2ccccc2C1=O,"1h-indole-2,3-dione",0.0,95.8,8.34627,147.0,-12.4
Cc1ccc2ccccc2c1,2-methylnaphthalene,0.0,31.9,-2.458895,9.221237,-1.639957
Clc1ccc2ccccc2c1,2-chloronaphthalene,0.0,32.9,-7.89742,11.7,-5.629085
Sc1ccc2ccccc2c1,2-naphthalenethiol,0.0,44.9,-9.975974,22.7,-11.3
Cc1ccc2ncccc2c1,6-methylquinoline,0.0,48.5,25.9,67.9,99.1
Cc1ccc2ccccc2n1,2-methyl-quinoline,0.0,48.0,24.7,66.5,98.9
O=c1ccc2ccccc2o1,2h-1-benzopyran-2-one,0.0,64.6,27.7,73.3,67.3
Nc1nc(N)nc(-c2ccccc2)n1,benzoguanamine,0.0,113.0,-15.8,173.0,-22.3
C#CC(C)(C)C,"3,3-dimethyl-1-butyne",0.0,30.4,1.157587,19.3,-2.470881
CC(=O)C(Cl)(Cl)Cl,"1,1,1-trichloroacetone",0.0,33.8,4.081944,22.0,8.344886
CN(C)C(C)(C)C,dimethyl-t-butylamine,0.0,25.4,24.1,50.8,97.0
O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],hexanitroethane,0.0,20.2,-3.288485,5.784685,-2.351588
c1ccc(-c2cccc(-c3ccccc3)c2)cc1,m-terphenyl,0.0,51.2,-6.729947,15.9,-4.613773
c1ccc2cc3cc4ccccc4cc3cc2c1,tetracene,0.0,47.2,-8.788615,14.7,-5.547008
Cc1ccc2oc(=O)ccc2c1,6-methyl-2h-1-benzopyran-2-one,0.0,64.9,31.6,75.7,75.3
c1ccc(-c2ccccc2)cc1,biphenyl,0.0,37.4,-4.087051,11.6,-2.853006
Oc1ccc(-c2ccccc2)cc1,p-hydroxybiphenyl,0.0,69.9,-27.5,86.5,-93.1
c1ccc2nc3ccccc3nc2c1,phenazine,0.0,58.6,27.7,74.6,93.6
c1ccc2c(c1)Cc1ccccc1O2,xanthene,0.0,42.3,-1.206774,16.0,0.508218
