Unnamed: 0.1,Unnamed: 0,Name,smiles,Valid,sigma,m,epsilon_k,mu,Assoc_scheme,KAB,epsilonAB
360,360,Glycerol_diethyl_acetate,CCOC(C)=O,True,3.432254991150051,3.064494281960028,249.7213929610536,1.789688648899579,2B,0.0,0.0
371,371,X-Y-2-Methyl-1-butanol,CCC(C)CO,True,3.691786251027352,2.985828489894466,238.67812858489512,1.76219705481538,2B,0.3978538562648896,2718.871519163549
384,384,XSY-2-Pentanol,CCCC(C)O,True,3.620827458923296,3.162077960542589,229.9847004227984,1.5475211856385036,2B,0.2778798852159009,2718.865983584214
394,394,Citronellylisobutyl_formal,CCCCC=O,True,3.569322581714317,3.2021219692716585,245.70690668912863,2.6330691046761383,2B,0.0,0.0
1131,1131,X+Y-4-Methylhexan-2-ol,CCC(C)CC(C)O,True,3.807824734436157,3.585405781960599,247.15686599821208,1.533522735403685,2B,0.0,0.0
1160,1160,4-Methylhexan-2-ol,CCC(C)CC(C)O,True,3.807796411675037,3.5855189049169045,247.1601774087333,1.5335959506988792,2B,0.0,0.0
1171,1171,2-Methyl-3-hexanol,CCCC(O)C(C)C,True,3.7965115615664873,3.61809607571546,244.88341913494511,1.5612862709958093,2B,0.0,0.0
1190,1190,3-Methylcyclohexanone,CC1CCCC(=O)C1,True,3.92408176799454,2.9131946211309403,317.597921750037,3.208498535140697,2B,0.0,0.0
446,446,4-Pentyn-2-ol,C#CCC(C)O,True,3.5805790101610286,2.968372407318282,235.06704850600752,1.9402960238066769,,,
1196,1196,X+Y-3-Methylcyclohexanone,CC1CCCC(=O)C1,True,3.92408176799454,2.9131946211309403,317.597921750037,3.208498535140697,2B,0.0,0.0
1211,1211,X+Y-4-Methyl-2-hexanone,CCC(C)CC(C)=O,True,3.782810088006721,3.5691743297957883,260.6234979148502,2.5722420492636378,2B,0.0,0.0
1218,1218,n-Hept-1-ene-7-ol,C=CCCCCCO,True,3.7502851185908814,3.621571056113787,248.2604648143854,1.5320182244346834,2B,0.0,0.0
471,471,tert.Butyl_hydroperoxide,CC(C)(C)OO,True,3.6365826987427625,2.789030818873502,261.886231014414,1.6864722381349773,,,
475,475,X+Y-2-Methylbutanal,CCC(C)C=O,True,3.652537116632866,2.999926780704532,262.4232243057952,2.84108249968212,2B,0.0,0.0
1224,1224,3-Methylpentanoic_acid,CCC(C)CC(=O)O,True,3.732888334907608,3.461928751040878,326.86850594212774,4.021484795445583,2B,0.0,0.0
1227,1227,3-Methylheptane,CCCCC(C)CC,True,3.834292576759725,3.748615568866321,238.5863560676168,0.0975521911593993,2B,0.0,0.0
491,491,alpha-DL-Alanine,CC(N)C(=O)O,True,3.603022043505826,2.6943110038128166,423.8914639018443,5.274185686909402,2B,1.4962905092326673,2030.7269750115129
492,492,1-Methoxy-2-propanol,COCC(C)O,True,3.531697222967088,3.0766314291536805,261.33902749327467,2.381256048811215,2B,0.2054192296695228,2382.70177096538
1248,1248,X+Y-2-Methylhexan-3-ol,CCCC(O)C(C)C,True,3.79645713862203,3.6182053444922673,244.8967775934577,1.5613202650321298,2B,0.0,0.0
1251,1251,Cytosine,Nc1ccnc(=O)[nH]1,True,3.785965402339601,2.7758944796490708,740.8671537012989,7.866752233291703,2B,0.0,0.0
1254,1254,X-Y-5-Methylhexan-3-ol,CCC(O)CC(C)C,True,3.7949558492263833,3.619517247448625,245.66806093116887,1.4502432416667213,2B,0.0,0.0
498,498,Cyanoacetamide,N#CCC(N)=O,True,3.352089294060004,2.7155877466104315,266.00816595978097,0.8469633522177923,,,
1255,1255,X-Y-Heptan-3-ol,CCCCC(O)CC,True,3.699621350936715,3.9280360659574898,236.40088608092324,1.586815695032035,2B,0.0,0.0
1268,1268,3-Heptanol,CCCCC(O)CC,True,3.699576658246651,3.928196597889236,236.39903960324327,1.5866720990803362,2B,0.0,0.0
